Cavité :	Caf 225 Soleil Trompeur
Système de coordonnées : LT 3
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
	7	    -- -->  	 322.6 °	  16.0 °		0.86								  16.0 °	0.24	0.86	0.83	855519.6	3309107.1	1428.0	26.3		

	7	    -- -->  	 212.0 °	  60.3 °		0.38								  60.3 °	0.33	0.38	0.19	855520.0	3309106.2	1428.0	25.7		

	7	   8	 242.4 °	 -23.1 °		3.15				0.2	0.2		1.3	 -23.1 °	-1.23	3.15	2.90	855517.5	3309105.1	1426.5	28.4		

	8	   9	 257.8 °	 -51.7 °		2.59					0.4	0.4		 -51.7 °	-2.03	2.59	1.60	855516.0	3309104.8	1424.4	30.0		haut puits

	8	    -- -->  	 135.7 °	   0.9 °		0.20								   0.9 °	0.00	0.20	0.20	855517.7	3309105.0	1426.5	28.6		

	8	    -- -->  	 136.9 °	  83.3 °		1.29								  83.3 °	1.29	1.29	0.15	855517.6	3309105.0	1427.8	28.5		

	8	    -- -->  	 310.0 °			0.20										0.20	0.20	855517.4	3309105.2	1426.5	28.6		

	9	   10	  79.3 °	 -81.6 °		4.44				0.7	0.4	0.4		 -81.6 °	-4.39	4.44	0.65	855516.6	3309104.9	1420.1	30.6		

	9	    -- -->  	 289.6 °	  82.1 °		0.43								  82.1 °	0.43	0.43	0.06	855515.9	3309104.8	1424.9	30.0		

	9	    -- -->  	  18.5 °	   2.9 °		0.36								   2.9 °	0.02	0.36	0.36	855516.1	3309105.1	1424.5	30.3		

	10	->  10-1	 129.2 °	  25.8 °		3.17								  25.8 °	1.38	3.17	2.85	855518.8	3309103.1	1421.4	33.5		

	10	    -- -->  	 346.5 °	  -2.4 °		1.66								  -2.4 °	-0.07	1.66	1.65	855516.2	3309106.5	1420.0	32.3		

	10	    -- -->  	  56.1 °	   0.5 °		0.66								   0.5 °	0.01	0.66	0.66	855517.2	3309105.3	1420.1	31.3		

	11	^   10	  57.2 °	 -44.3 °		2.49				1.2	0.7		1.4	  44.3 °	1.74	2.49	1.78	855515.1	3309104.0	1421.8	32.4		

	11	   12	 236.0 °	 -42.6 °		3.18				1.2	0.7		1.4	 -42.6 °	-2.15	3.18	2.34	855513.1	3309102.7	1419.6	34.7		

	11	    -- -->  	 339.4 °	 -22.4 °		0.74								 -22.4 °	-0.28	0.74	0.68	855514.9	3309104.6	1421.5	33.1		

	11	    -- -->  	 144.6 °	 -11.8 °		1.20								 -11.8 °	-0.24	1.20	1.18	855515.8	3309103.0	1421.5	33.6		

	11	    -- -->  	 258.6 °	 -83.1 °		1.35								 -83.1 °	-1.34	1.35	0.16	855514.9	3309103.9	1420.4	32.6		

	12	   13	 270.1 °	 -47.1 °		4.00				1.1		0.8	0.9	 -47.1 °	-2.93	4.00	2.72	855510.4	3309102.7	1416.7	37.5		

	12	    -- -->  	 182.6 °	  12.1 °		0.38								  12.1 °	0.08	0.38	0.37	855513.1	3309102.3	1419.7	35.1		

	12	    -- -->  	 154.9 °	  85.3 °		0.63								  85.3 °	0.63	0.63	0.05	855513.1	3309102.6	1420.3	34.8		

	12	    -- -->  	 355.2 °	   0.1 °		1.36								   0.1 °	0.00	1.36	1.36	855513.0	3309104.0	1419.6	36.1		

	13	   14	 350.9 °	 -14.5 °		3.56				2.3	3.0	0.4	0.6	 -14.5 °	-0.89	3.56	3.45	855509.9	3309106.2	1415.8	40.9		

	13	    -- -->  	 289.4 °	  84.7 °		0.81								  84.7 °	0.81	0.81	0.08	855510.3	3309102.8	1417.5	37.5		

	13	    -- -->  	  23.2 °	 -89.0 °		0.86								 -89.0 °	-0.86	0.86	0.02	855510.4	3309102.8	1415.8	37.5		

	13	    -- -->  	 159.9 °	  16.5 °		1.11								  16.5 °	0.32	1.11	1.06	855510.8	3309101.7	1417.0	38.5		

	13	    -- -->  	 292.7 °	 -14.1 °		0.81								 -14.1 °	-0.20	0.81	0.79	855509.7	3309103.1	1416.5	38.2		

	14	    -- -->  	 297.7 °	 -39.7 °		3.18								 -39.7 °	-2.03	3.18	2.45	855507.8	3309107.3	1413.8	43.4		

	14	    -- -->  	 119.5 °	  42.2 °		4.30								  42.2 °	2.89	4.30	3.19	855512.7	3309104.5	1418.7	44.1		

	14	   15	  25.7 °	  -5.9 °		1.81					0.4		1.3	  -5.9 °	-0.19	1.81	1.80	855510.7	3309107.8	1415.6	42.7		

	14	    -- -->  	 319.3 °	  78.3 °		0.42								  78.3 °	0.42	0.42	0.09	855509.9	3309106.2	1416.2	41.0		

	14	    -- -->  	  71.3 °	 -83.5 °		0.58								 -83.5 °	-0.57	0.58	0.07	855510.0	3309106.2	1415.2	41.0		

	15	    -- -->  	  91.3 °	 -86.1 °		1.34								 -86.1 °	-1.34	1.34	0.09	855510.8	3309107.8	1414.3	42.8		

	15	    -- -->  	  44.6 °	   3.6 °		0.47								   3.6 °	0.03	0.47	0.47	855511.1	3309108.1	1415.7	43.2		

	15	->  15-1	  90.5 °	  50.4 °		4.55								  50.4 °	3.51	4.55	2.90	855513.6	3309107.7	1419.1	45.6		

	15	^   16	 288.2 °	 -47.3 °		4.50				0.7	1.1	0.9		 -47.3 °	-3.31	4.50	3.05	855507.8	3309108.8	1412.3	45.8		

	16	->  16-1	 328.6 °	 -81.3 °		4.37								 -81.3 °	-4.32	4.37	0.66	855507.5	3309109.3	1408.0	46.4		

