Cavité :	Scialet Amadjide
Système de coordonnées : LT 3
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		1																855555.2	3308150.9	1624.0			AVEN  -  sc Amadjide P=25m ca boyau impénét. Désob

Galerie :	Galerie Principale
Date du lever : 	16/07/2011	Déclinaison = 	0.00 °
mesures des longueurs :	Lasermètre 
mesures des Azimuts :	Boussole 	 en grades
mesures des Pentes :	Lasermètre 	 en degrés
	1	>< 1	 366.0 g	 -18.0 °		7.00								 -18.0 °	-2.16	7.00	6.66	855551.8	3308156.6	1621.8	6.7		

	1	   2	 328.0 g	 -73.0 °		4.46								 -73.0 °	-4.27	4.46	1.30	855550.6	3308157.2	1617.6	8.0		

	2	   3	 352.0 g	 -82.0 °		5.53								 -82.0 °	-5.48	5.53	0.77	855550.1	3308157.8	1612.1	8.7		

	3	   4	   0.0 g	 -90.0 °		8.85								 -90.0 °	-8.85	8.85		855550.1	3308157.8	1603.2	8.7		

	4	   5	 180.0 g	 -55.0 °		1.80								 -55.0 °	-1.47	1.80	1.03	855550.4	3308156.8	1601.8	9.8		

	5	   6	  93.0 g	 -34.0 °		2.17								 -34.0 °	-1.21	2.17	1.80	855552.2	3308157.0	1600.6	11.6		

	6	   7	 382.0 g	 -48.0 °		7.00								 -48.0 °	-5.20	7.00	4.68	855550.9	3308161.5	1595.4	16.2		

Galerie :	méandre 2 au fractio
Date du lever : 	16/07/2011	Déclinaison = 	0.00 °
mesures des longueurs :	Lasermètre 
mesures des Azimuts :	Boussole 	 en grades
mesures des Pentes :	Lasermètre 	 en degrés
	2	>> 2''	 380.0 g			1.10										1.10	1.10	855550.3	3308158.2	1617.6	9.1		

Galerie :	méandre au fractio
Date du lever : 	16/07/2011	Déclinaison = 	0.00 °
mesures des longueurs :	Lasermètre 
mesures des Azimuts :	Boussole 	 en grades
mesures des Pentes :	Lasermètre 	 en degrés
	2	>> 2'	  52.0 g			2.00										2.00	2.00	855552.1	3308158.6	1617.6	10.0		

Galerie :	boyau du chat
Date du lever : 	16/07/2011	Déclinaison = 	0.00 °
mesures des longueurs :	Lasermètre 
mesures des Azimuts :	Boussole 	 en grades
mesures des Pentes :	Lasermètre 	 en degrés
	6	>> 6'	 382.0 g	 -34.0 °		4.05								 -34.0 °	-2.26	4.05	3.36	855551.3	3308160.2	1598.3	14.9		point de visé avant le boyau du chat

	6'	   6''	  57.0 g	  -2.0 °		1.60								  -2.0 °	-0.06	1.60	1.60	855552.5	3308161.2	1598.2	16.5		

